ID,EDUCATION,ECONMIC
P00011047,2,0
P00011052,2,0
P00011064,2,0
P00011080,2,1
P00011115,2,0
P00011191,3,0
P00011198,2,0
P00011201,3,0
P00011216,3,1
P00011238,2,0
P00011251,2,1
P00011266,2,0
P00011279,2,0
P00011307,3,0
P00011310,2,1
P00011345,2,0
P00011385,2,1
P00011387,5,0
P00011389,2,0
P00011433,2,0
P00011529,1,0
P00011531,2,0
P01121331,5,2
P00011544,2,1
P00011552,2,1
P00011600,5,0
P00011647,2,1
P00011670,2,1
P00011671,2,0
P00011701,1,0
P01125885,3,0
P00011714,2,1
P00011781,2,1
P00011798,1,0
P00011804,3,1
P00011815,4,0
P00011817,5,0
P00011821,5,1
P00011840,7,0
P00011854,3,0
P00011856,2,0
P00011880,2,0
P00011895,4,1
P00011909,3,2
P00975049,4,1
P00975054,2,0
P00011923,3,0
P00011926,5,0
P00011935,2,0
P00975064,5,1
P00975069,3,1
P00011948,4,1
P00011951,7,0
P00011954,5,0
P00011957,2,0
P00011966,5,0
P00975088,5,0
P00011978,3,0
P00011985,4,1
P00011988,3,1
P00975109,5,0
P00975111,5,1
P00012000,3,1
P00012012,5,1
P00012016,2,0
P00012019,3,1
P00012020,5,0
P00012029,2,0
P00012033,3,0
P00975133,3,0
P00975137,3,0
P00012050,2,0
P00975151,2,1
P00975155,5,0
P00012059,2,0
P00012060,3,2
P00975162,7,0
P00012071,2,0
P00012117,2,0
P00012120,2,0
P00012126,4,1
P00012129,2,0
P00975182,3,2
P00975185,3,0
P00012133,5,0
P00012136,3,0
P00975186,3,0
P00012151,2,1
P00012156,2,0
P00975196,4,0
P00012162,1,0
P00012181,3,1
P00012199,3,0
P00012207,2,0
P00012210,2,1
P00012227,2,1
P00012230,3,1
P00012244,3,0
P00012250,3,0
P00012289,2,0
P00012292,3,0
P00012310,5,0
P00012328,4,1
P00012342,3,0
P00012345,2,0
P00012347,2,1
P00012350,5,1
P00012351,5,0
P00012356,4,1
P00012364,1,0
P00012369,1,0
P00012371,5,1
P00012415,7,1
P00012435,2,1
P00012475,3,1
P00012481,5,1
P00012487,1,0
P00012515,6,0
P00012516,2,1
P00012523,3,0
P00012554,2,0
P00012576,3,0
P00012579,1,0
P00012591,2,0
P00012652,2,0
P00012675,4,0
P00012678,3,1
P00012683,3,1
P00012704,5,2
P00012708,3,0
P00012714,5,0
P00012727,3,0
P00012738,2,0
P00012744,3,0
P00012751,3,0
P00012764,4,0
P00012767,3,0
P00012797,1,0
P00012809,1,0
P00012812,2,
P00012828,3,0
P00012839,2,1
P00012844,2,0
P00012850,1,0
P00012853,2,0
P00012899,3,0
P00012920,2,0
P00012929,3,2
P00012931,3,0
P00012934,3,1
P00012952,2,0
P00012956,6,0
P00012968,7,0
P00012991,5,0
P00012993,2,1
P00013007,6,1
P00013013,1,0
P00013016,3,0
P00013034,6,
P00013071,2,1
P00013085,5,0
P00013088,2,1
P00013121,2,1
P00013125,3,1
P00013142,3,0
P00013149,3,0
P00013171,1,2
P00013188,4,1
P00013194,3,0
P00013217,5,0
P00013256,5,0
P00013258,2,0
P00013281,1,0
P00013307,4,1
P00013331,3,0
P00013342,1,0
P00013355,2,0
P00013357,2,0
P00013371,3,0
P00013385,2,1
P00013394,3,0
P00013501,3,0
P00013543,2,0
P00013579,2,0
P00013678,2,0
P00013716,2,1
P00013729,2,0
P00013754,2,0
P00013759,5,0
P00013777,5,1
P00013783,5,2
P00013786,3,0
P00975246,3,2
P00013828,3,1
P00013831,3,0
P00975265,7,0
P00013835,2,0
P00013838,3,0
P00013841,3,0
P00013845,3,
P00013853,4,1
P00013854,2,0
P00013855,5,0
P00013857,2,1
P00013858,2,1
P00013861,4,1
P00013866,2,0
P00013868,5,1
P00013878,5,0
P00013880,4,0
P00013881,5,0
P00013889,2,1
P00013895,2,0
P00975285,5,1
P00975292,5,1
P00013912,5,0
P00013924,3,0
P00013928,4,0
P00013929,2,0
P00013930,4,0
P00013938,5,2
P00975300,3,2
P00013956,4,1
P00975304,4,0
P00975305,1,1
P00975308,2,0
P00013988,2,0
P00013999,4,0
P00014004,1,1
P00014016,7,0
P00014020,2,0
P00975354,3,0
P00014029,2,0
P00975358,4,1
P00014031,2,0
P00975363,2,0
P00014036,5,1
P00975364,7,0
P00014039,3,0
P00014040,5,1
P00014046,5,0
P00014058,7,0
P00014080,3,0
P00014082,6,1
P00975379,2,0
P00014083,2,1
P00014090,3,1
P00014097,4,0
P00014103,3,1
P00014108,7,0
P00014114,3,0
P00014123,3,0
P00014124,2,0
P00014126,5,0
P00014129,3,0
P00014133,3,1
P00014136,2,0
P00014139,4,1
P00014141,3,2
P00014142,5,1
P00014166,4,1
P00014170,4,1
P00014175,3,1
P00014176,7,0
P00014188,3,0
P00014191,5,1
P00014212,4,1
P00014220,2,1
P00014251,3,2
P00014252,2,0
P00014261,5,0
P00014262,1,0
P00014273,2,0
P00014291,7,0
P00014294,3,0
P00014295,3,
P00014303,3,0
P00014308,2,0
P00014310,2,0
P00014318,3,1
P00014332,2,0
P00014335,7,0
P00014347,3,1
P00014354,4,0
P00014356,2,0
P00014372,3,0
P00014380,6,1
P00014386,3,0
P00014391,4,1
P00014403,2,1
P00014404,5,1
P00014419,2,0
P00014420,4,0
P00014424,7,0
P00014425,3,0
P00014431,2,0
P00014442,2,0
P00014448,5,0
P00014458,3,0
P00014474,5,1
P00014481,3,1
P00014492,5,0
P00014497,2,1
P00014507,5,2
P00014534,2,0
P00014535,4,0
P00014546,5,1
P00014547,3,1
P00014558,4,0
P00014560,2,1
P00014597,3,0
P00014604,4,1
P00014605,7,0
P00014614,3,1
P00014617,3,0
P00014630,4,1
P00014642,1,0
P00014643,1,0
P00014665,1,0
P00014667,5,1
P00014677,2,1
P00014682,3,0
P00014686,3,0
P00014687,3,0
P00014711,2,0
P00014712,3,1
P00014717,2,0
P00014723,4,1
P00014738,5,1
P00014756,5,0
P00014759,2,0
P00014766,2,0
P00014767,5,2
P00014774,2,1
P00014788,3,2
P00014804,3,0
P00014870,2,0
P00014884,3,1
P00014886,2,1
P00014896,5,1
P00014909,3,0
P00014913,5,1
P00014916,1,0
P00014924,3,1
P00014935,2,
P00014939,2,0
P00014951,5,1
P00014966,2,0
P00014972,2,0
P00014992,2,0
P00015000,3,0
P00015026,2,0
P00015027,5,0
P00015048,3,0
P00015057,4,1
P00015066,3,0
P00015080,7,0
P00015087,2,2
P00015098,4,1
P00015103,2,0
P00015112,3,1
P00015117,5,0
P00015133,3,0
P00015140,7,0
P00015144,1,0
P00015161,5,0
P00015167,2,0
P00015168,3,1
P00015176,4,1
P00015179,3,0
P00015180,2,0
P00015182,4,0
P00015188,5,1
P00015208,6,0
P00015242,3,0
P00015248,3,0
P00015253,4,1
P00015273,1,0
P00015281,2,0
P00015282,7,0
P00015286,3,1
P00015292,2,0
P00015303,5,1
P00015317,3,1
P00015318,1,0
P00015319,2,0
P00015327,7,0
P00015340,3,0
P00015341,2,1
P00015344,4,1
P00015345,2,0
P00015347,3,0
P00015355,5,0
P00015359,5,1
P00015367,3,0
P00015380,3,0
P00015387,2,0
P00015395,4,1
P00015398,4,1
P00015406,3,0
P00015407,4,1
P00015426,2,0
P00015431,5,0
P00015433,5,0
P00015436,2,0
P00015439,4,2
P00015447,2,0
P00015460,3,0
P00015469,3,1
P00015481,3,0
P00015487,3,0
P00015488,4,1
P00015498,2,0
P00015500,2,0
P00015502,7,1
P00015507,3,0
P00015521,3,0
P00015525,5,0
P00015529,3,0
P00015532,4,1
P00015535,3,0
P00015542,3,0
